filename,num_players,num_messages_sent,turns
real_data/number_of_messages_experiment_1512665672.txt,20,1012,83
real_data/number_of_messages_experiment_1512665672.txt,20,1392,83
real_data/number_of_messages_experiment_1512665672.txt,20,1411,83
real_data/number_of_messages_experiment_1512665672.txt,20,1449,83
real_data/number_of_messages_experiment_1512665672.txt,20,1411,83
real_data/number_of_messages_experiment_1512665672.txt,20,1468,83
real_data/number_of_messages_experiment_1512665672.txt,20,1487,83
real_data/number_of_messages_experiment_1512665672.txt,20,1278,83
real_data/number_of_messages_experiment_1512665672.txt,20,1430,83
real_data/number_of_messages_experiment_1512665672.txt,20,1316,83
real_data/number_of_messages_experiment_1512665672.txt,20,1373,83
real_data/number_of_messages_experiment_1512665672.txt,20,1410,83
real_data/number_of_messages_experiment_1512665672.txt,20,1335,83
real_data/number_of_messages_experiment_1512671534.txt,2,149,72
real_data/number_of_messages_experiment_1512671534.txt,2,138,72
real_data/number_of_messages_experiment_1512671534.txt,3,111,33
real_data/number_of_messages_experiment_1512671534.txt,3,97,33
real_data/number_of_messages_experiment_1512671534.txt,3,98,33
real_data/number_of_messages_experiment_1512671534.txt,4,135,34
real_data/number_of_messages_experiment_1512671534.txt,4,150,34
real_data/number_of_messages_experiment_1512671534.txt,4,161,34
real_data/number_of_messages_experiment_1512671534.txt,4,156,34
real_data/number_of_messages_experiment_1512671534.txt,5,151,33
real_data/number_of_messages_experiment_1512671534.txt,5,183,33
real_data/number_of_messages_experiment_1512671534.txt,5,202,33
real_data/number_of_messages_experiment_1512671534.txt,5,163,33
real_data/number_of_messages_experiment_1512671534.txt,5,175,33
real_data/number_of_messages_experiment_1512671534.txt,6,534,87
real_data/number_of_messages_experiment_1512671534.txt,6,475,87
real_data/number_of_messages_experiment_1512671534.txt,6,460,87
real_data/number_of_messages_experiment_1512671534.txt,6,535,87
real_data/number_of_messages_experiment_1512671534.txt,6,475,87
real_data/number_of_messages_experiment_1512671534.txt,6,505,87
real_data/number_of_messages_experiment_1512671534.txt,7,395,70
real_data/number_of_messages_experiment_1512671534.txt,7,365,70
