filename,bits_used_for_primes,time_spent_to_shuffle_in_ns
real_data/crypto_experiment_128_bits_1512678771.txt,128,1172414085
real_data/crypto_experiment_128_bits_1512678771.txt,128,1252152806
real_data/crypto_experiment_128_bits_1512678771.txt,128,1178192053
real_data/crypto_experiment_128_bits_1512678701.txt,128,1245833419
real_data/crypto_experiment_128_bits_1512678701.txt,128,766452048
real_data/crypto_experiment_128_bits_1512678701.txt,128,1274007635
real_data/crypto_experiment_128_bits_1512678701.txt,128,782641628
real_data/crypto_experiment_128_bits_1512678701.txt,128,1271018955
real_data/crypto_experiment_128_bits_1512678701.txt,128,890143408
real_data/crypto_experiment_128_bits_1512678701.txt,128,1274617552
real_data/crypto_experiment_128_bits_1512678701.txt,128,877392282
real_data/crypto_experiment_128_bits_1512678701.txt,128,1382293011
real_data/crypto_experiment_128_bits_1512678701.txt,128,879713740
real_data/crypto_experiment_128_bits_1512678701.txt,128,1265186462
real_data/crypto_experiment_128_bits_1512678701.txt,128,887966590
real_data/crypto_experiment_512_bits_1512678524.txt,512,4413096340
real_data/crypto_experiment_512_bits_1512678524.txt,512,3599300254
real_data/crypto_experiment_512_bits_1512678524.txt,512,4497447721
real_data/crypto_experiment_512_bits_1512678524.txt,512,3620665302
real_data/crypto_experiment_512_bits_1512678524.txt,512,4493981490
real_data/crypto_experiment_512_bits_1512678524.txt,512,3604241128
real_data/crypto_experiment_512_bits_1512678524.txt,512,4473139393
real_data/crypto_experiment_512_bits_1512678524.txt,512,3541651234
real_data/crypto_experiment_512_bits_1512678524.txt,512,4413767822
real_data/crypto_experiment_512_bits_1512678524.txt,512,3618752757
real_data/crypto_experiment_512_bits_1512678524.txt,512,4403910169
real_data/crypto_experiment_512_bits_1512678524.txt,512,3701085113
real_data/crypto_experiment_512_bits_1512678570.txt,512,8251557209
real_data/crypto_experiment_512_bits_1512678570.txt,512,3589263608
real_data/crypto_experiment_512_bits_1512678570.txt,512,8274963382
real_data/crypto_experiment_512_bits_1512678570.txt,512,3647394448
real_data/crypto_experiment_512_bits_1512678570.txt,512,8219597517
real_data/crypto_experiment_512_bits_1512678570.txt,512,3725470794
real_data/crypto_experiment_512_bits_1512678570.txt,512,8365306633
real_data/crypto_experiment_512_bits_1512678570.txt,512,3584486338
real_data/crypto_experiment_512_bits_1512678570.txt,512,8196954899
real_data/crypto_experiment_512_bits_1512678570.txt,512,3770490628
real_data/crypto_experiment_512_bits_1512678570.txt,512,8299080791
real_data/crypto_experiment_512_bits_1512678570.txt,512,3753276493
